ID_Joueur,Nom,Prénom,Date_Naissance,Num_Licence,Date_Adhésion,Pied_Dominant,Position,Taille,Poids,IMC,Catégorie,Aspect_Général
944,Garcia,Sara,2011-01-09,LK5031,2024-05-19,Gauche,Gardien,159.9,64.7,25.3,Minime B,3.2
866,Hicks,Lisa,1990-08-14,Eq8373,2023-12-31,Droit,Gardien,183.5,88.6,26.3,Senior,3.4
237,Garcia,Daniel,2004-10-23,Vm3916,2024-10-05,Gauche,Gardien,186.1,84.1,24.3,Elite,4.5
728,Crawford,Nicole,2008-10-17,eJ3582,2023-11-02,Ambidextre,Gardien,171.7,74.9,25.4,Cadet B,3.6
406,Crawford,John,1998-03-11,mw8031,2022-05-28,Droit,Gardien,181.7,87.6,26.5,Senior,4.8
731,Reed,Brenda,1990-06-03,He0999,2023-04-22,Droit,Gardien,192.8,79.2,21.3,Senior,1.2
380,Brown,Charles,1992-02-05,pa1227,2022-04-11,Gauche,Milieu,177.0,79.4,25.3,Senior,2.7
414,Johnson,Mary,2008-04-05,Df7935,2020-07-01,Gauche,Gardien,175.9,66.8,21.6,Cadet A,2.8
976,Guerra,Patricia,1997-12-25,Ob1483,2022-09-21,Ambidextre,Attaquant,176.3,86.0,27.7,Senior,2.3
590,Rodriguez,Caitlin,1994-08-11,tA9302,2023-03-27,Ambidextre,Défenseur,188.8,88.7,24.9,Senior,1.0
715,Garcia,Melissa,1998-01-31,MY1589,2023-04-10,Ambidextre,Défenseur,187.3,83.0,23.7,Senior,3.4
342,Rogers,Thomas,1995-06-02,dt6751,2021-08-17,Gauche,Défenseur,184.1,79.1,23.3,Senior,3.6
258,Cooper,Daniel,2001-04-07,EI6656,2023-11-02,Droit,Milieu,178.3,70.7,22.2,Senior,1.1
18,Rodriguez,Cindy,1997-10-15,Nr0456,2020-12-19,Droit,Attaquant,182.4,72.5,21.8,Senior,3.1
943,Williams,Jessica,2001-11-09,Nz1286,2021-06-03,Ambidextre,Attaquant,179.6,77.4,24.0,Senior,4.0
996,Dougherty,Joshua,1993-08-31,AL1761,2020-11-25,Droit,Milieu,192.3,83.3,22.5,Senior,3.1
38,Melton,Diana,1998-09-06,eS9600,2022-09-13,Ambidextre,Milieu,180.2,85.9,26.5,Senior,2.0
206,Spears,Joseph,2003-03-19,wW7688,2020-11-02,Droit,Milieu,194.3,78.7,20.8,Senior,4.5
573,Coleman,Adam,2006-12-06,kO4036,2021-01-19,Ambidextre,Gardien,187.6,69.5,19.7,Elite,2.2
100,Harris,John,1998-08-02,zr3718,2024-09-23,Ambidextre,Défenseur,186.7,84.2,24.2,Senior,2.2
831,Hines,Nicole,1994-07-30,kO1822,2024-03-18,Gauche,Milieu,192.6,71.1,19.2,Senior,3.8
97,Jones,Ryan,2010-12-16,wp1885,2020-11-27,Gauche,Gardien,167.1,55.3,19.8,Minime A,3.2
